Probe Set	Identifier	FirstOfLocuslink	FirstOfName	FirstOfFunction	Description							
6060161	XM_937654.2	57654	KIAA1530		KIAA1530							
1740133	XM_937654.2	57654	KIAA1530		KIAA1530							
4780424	XM_497491.2	441752	LOC441752		LOC441752							
240142	NM_014336.3	23746	AIPL1		AIPL1							
7560037	NM_133471.1	170954	KIAA1949		KIAA1949							
7570411	NM_021100.3	9054	NFS1		NFS1							
70369	NM_021100.3	9054	NFS1		NFS1							
2940746	NM_006169.2	4837	NNMT		NNMT							
1010367	NM_001033506.1	1479	CSTF3		CSTF3							
4250328	NM_175856.4	337876	CHSY3		CHSY3							
1740446	BM052926		HS.351491		HS.351491							
1340470	NM_033070.2	27440	CECR5		CECR5							
4900458	NM_000526.3	3861	KRT14		KRT14							
160634	AF150116		HS.561360		HS.561360							
5090564	AI684424		HS.128103		HS.128103							
380554	BX957015		HS.561518		HS.561518							
7200458	XM_928035.1	644951	LOC644951		LOC644951							
4480341	NM_014762.3	1718	DHCR24		DHCR24							
6450170	XM_374023		HS.516721		HS.516721							
7000615	AI912075		HS.368698		HS.368698							
60110	BX112697		HS.116129		HS.116129							
4590348	XM_935679.1	641926	LOC641926		LOC641926							
2120494	AW168769		HS.545141		HS.545141							
3800458	AW013920		HS.566675		HS.566675							
1300739	AI819901		HS.537821		HS.537821							
7040414	AW135903		HS.565493		HS.565493							
4120465	NM_032993.1	54433	NOLA1		NOLA1							
2320397	AI073473		HS.541587		HS.541587							
6060022	BX110880		HS.128396		HS.128396							
10114	XM_944981.1	651864	LOC651864		LOC651864							
5820452	DR004264		HS.358845		HS.358845							
870736	XM_495939.3	57666	KIAA1545		KIAA1545							
1940017	NM_001003684.1	29796	UCRC		UCRC							
4640341	NM_004881.2	9540	TP53I3		TP53I3							
4730278	NM_022728.2	63974	NEUROD6		NEUROD6							
4880601	XM_001129472.1	731396	LOC731396		LOC731396							
620450	NM_024570.1	79621	RNASEH2B		RNASEH2B							
1010619	NM_016937.1	5422	POLA		POLA							
1850458	NM_001009937.1	115286	SLC25A26		SLC25A26							
1450451	NM_005128.2	9980	DOPEY2		DOPEY2							
5080328	NM_005128.2	9980	DOPEY2		DOPEY2							
3940102	BG203125		HS.333856		HS.333856							
7000356	NM_002957.3	6256	RXRA		RXRA							
6420672	NM_145271.3	146542	ZNF688		ZNF688							
2760241	NM_004366.2	1181	CLCN2		CLCN2							
630521	NM_002996.3	6376	CX3CL1		CX3CL1							
1010278	NM_001040174.1	3360	HTR4		HTR4							
4830367	BM930795		HS.527241		HS.527241							
5810747	NM_004003.2	1384	CRAT		CRAT							
3800064	AU151944		HS.13997		HS.13997							
10161	NM_130807.2	126308	MOBKL2A		MOBKL2A							
5860181	XM_934230.1	440279	UNC13C		UNC13C							
7610070	NM_199171.1	56937	PMEPA1		PMEPA1							
160064	NM_017555.1	112398	EGLN2		EGLN2							
510397	XR_000900.1	390354	LOC390354		LOC390354							
4290368	NM_024430.2	9050	PSTPIP2		PSTPIP2							
1740278	AF086087		HS.547601		HS.547601							
1660093	NM_004421.2	1855	DVL1		DVL1							
2470435	XM_001130509.1	222967	LOC222967		LOC222967							
940192	BE048608		HS.554566		HS.554566							
3930411	NM_015215.1	23261	CAMTA1		CAMTA1							
1570670	BM674241		HS.562727		HS.562727							
5870424	NM_020856.2	57616	TSHZ3		TSHZ3							
5570593	NM_001080484.1	85452	KIAA1751		KIAA1751							
2120373	BQ184947		HS.101433		HS.101433							
5570685	XM_001132413.1	400796	LOC400796		LOC400796							
630537	NM_018055.3	4838	NODAL		NODAL							
2900373	NM_002517.2	4861	NPAS1		NPAS1							
2570746	AI684599		HS.477877		HS.477877							
7210719	NM_015331.2	23385	NCSTN		NCSTN							
7330017	XM_928203.1	645167	LOC645167		LOC645167							
2120661	NM_024583.2	79634	SCRN3		SCRN3							
3120025	NM_024583.2	79634	SCRN3		SCRN3							
270563	DR980176		HS.576169		HS.576169							
630450	XR_016151.1	642414	LOC642414		LOC642414							
770162	NM_001006682.1	474343	SPIN2B		SPIN2B							
360162	BF526556		HS.566414		HS.566414							
3940497	BM996458		HS.438985		HS.438985							
5290370	NM_178271.1	115201	ATG4A		ATG4A							
2450692	XM_926953.1	643648	LOC643648		LOC643648							
2650634	XM_937234.2	57683	KIAA1571		KIAA1571							
670129	CF890878		HS.527503		HS.527503							
4260722	NM_182752.3	127262	TPRG1L		TPRG1L							
2060603	NM_022353.1	64172	OSGEPL1		OSGEPL1							
4060180	NM_175886.2	221823	PRPS1L1		PRPS1L1							
4390504	XM_497029.2	441408	LOC441408		LOC441408							
4390554	AI371740		HS.565575		HS.565575							
3140543	NM_152240.1	64393	ZMAT3		ZMAT3							
6560601	NM_152240.1	64393	ZMAT3		ZMAT3							
5960292	AW051631		HS.256734		HS.256734							
6560520	NM_003260.3	7089	TLE2		TLE2							
430021	AW514448		HS.551381		HS.551381							
6110014	NM_054016.1	10772	FUSIP1		FUSIP1							
160386	NM_054016.1	10772	FUSIP1		FUSIP1							
5310300	NM_054016.1	10772	FUSIP1		FUSIP1							
4120504	XM_932192.1	643834	LOC643834		LOC643834							
3800079	NM_016145.2	51398	C19ORF56		C19ORF56							
3360338	NM_003988.3	5076	PAX2		PAX2							
6620082	CB270075		HS.578698		HS.578698							
6480291	BX447390		HS.571662		HS.571662							
1300040	NM_033221.1	9830	TRIM14		TRIM14							
1340292	NM_033377.1	114335	CGB1		CGB1							
6840609	NM_033377.1	114335	CGB1		CGB1							
940020	NM_020117.9	51520	LARS		LARS							
430324	NM_031205.2	9478	CABP1		CABP1							
2340528	NM_033286.1	90417	C15ORF23		C15ORF23							
6400541	AA811476		HS.214218		HS.214218							
780209	CR741628		HS.560046		HS.560046							
3850161	NM_152305.1	56983	KTELC1		KTELC1							
2970133	NM_005049.2	5822	PWP2		PWP2							
6660128	XM_930884.1	653080	LOC653080		LOC653080							
1990136	XM_926315.1	642936	LOC642936		LOC642936							
2360348	NM_207315.2	129607	CMPK2		CMPK2							
3420537	XM_926720.1	8781	PSPHL		PSPHL							
3400468	NM_001010935.1	5906	RAP1A		RAP1A							
6510286	XM_944729.1	9672	SDC3		SDC3							
2470176	AI333644		HS.526528		HS.526528							
1430646	AI005586		HS.539928		HS.539928							
5130192	NM_022034.4	50624	CUZD1		CUZD1							
4280102	NM_014933.2	22872	SEC31A		SEC31A							
5560180	NM_014933.2	22872	SEC31A		SEC31A							
3840100	NM_014933.2	22872	SEC31A		SEC31A							
7380270	NM_021821.2	60488	MRPS35		MRPS35							
4670017	NM_201402.1	377630	DUB3		DUB3							
990554	XM_942361.1	652733	LOC652733		LOC652733							
1090630	AW593172		HS.542651		HS.542651							
7610358	AW630307		HS.543270		HS.543270							
6760079	XM_499123.3	441369	FLJ46284		FLJ46284							
3140402	NM_006296.3	7444	VRK2		VRK2							
1450487	AI201147		HS.132119		HS.132119							
6960398	XM_943981.1	649908	LOC649908		LOC649908							
4860474	AA884785		HS.174158		HS.174158							
2760133	AI613064		HS.544099		HS.544099							
5390372	NM_001008215.1	493753	C2ORF64		C2ORF64							
2060196	XM_937739.1	648672	LOC648672		LOC648672							
5490360	NM_173201.2	487	ATP2A1		ATP2A1							
4390215	NM_173201.2	487	ATP2A1		ATP2A1							
4280746	NM_173201.2	487	ATP2A1		ATP2A1							
2370730	NR_002927.1	664618	HSP90AB4P		HSP90AB4P							
1170487	NR_002927.1	664618	HSP90AB4P		HSP90AB4P							
4280386	XM_940938.1	651721	LOC651721		LOC651721							
620347	BX099168		HS.129385		HS.129385							
4210594	CD101933		HS.545044		HS.545044							
4010288	BX105435		HS.569381		HS.569381							
4860431	NM_015383.1	25832	NBPF14		NBPF14							
360482	NM_015383.1	25832	NBPF14		NBPF14							
150274	NM_020147.2	56906	THAP10		THAP10							
2480228	NM_201553.1	2267	FGL1		FGL1							
3130593	NM_153022.1	120939	C12ORF59		C12ORF59							
2000014	NM_032103.1	4660	PPP1R12B		PPP1R12B							
2650475	NM_032103.1	4660	PPP1R12B		PPP1R12B							
3190373	NM_024348.2	11258	DCTN3		DCTN3							
2490138	NM_173801.3	219990	PLAC1L		PLAC1L							
4210044	NR_000024.2	94161	SNORD46		SNORD46							
6250110	NM_022648.3	7145	TNS1		TNS1							
6510603	NM_000485.2	353	APRT		APRT							
160746	NM_000485.2	353	APRT		APRT							
3780400	NM_014212.3	3227	HOXC11		HOXC11							
1660601	BF515270		HS.566133		HS.566133							
3180048	NM_005896.2	3417	IDH1		IDH1							
6270670	NM_005896.2	3417	IDH1		IDH1							
510356	BU187959		HS.521641		HS.521641							
2710743	BX098039		HS.213148		HS.213148							
7040717	NM_015423.2	60496	AASDHPPT		AASDHPPT							
6060767	NM_015423.2	60496	AASDHPPT		AASDHPPT							
6280072	BQ019276		HS.563649		HS.563649							
870674	AI684931		HS.201494		HS.201494							
7550520	NM_001024809.2	5914	RARA		RARA							
5090392	NM_001002000.1	51292	GMPR2		GMPR2							
4150059	NM_001032393.1	3188	HNRNPH2		HNRNPH2							
4830563	BX111027		HS.149514		HS.149514							
7040189	BM681421		HS.560012		HS.560012							
840626	NM_015073.1	23094	SIPA1L3		SIPA1L3							
1780672	XM_932518.1	644923	LOC644923		LOC644923							
4780735	NM_001030060.1	389432	SAMD5		SAMD5							
1850201	NM_001039876.1	163183	C19ORF46		C19ORF46							
6560301	NM_005475.1	10019	SH2B3		SH2B3							
7040739	BF510726		HS.567685		HS.567685							
6420017	NM_015477.1	25942	SIN3A		SIN3A							
1070474	NM_152408.1	134359	C5ORF37		C5ORF37							
2810711	AI435841		HS.164344		HS.164344							
3800544	NM_006153.3	4690	NCK1		NCK1							
2510324	NM_147173.1	318	NUDT2		NUDT2							
2750035	NM_147173.1	318	NUDT2		NUDT2							
360398	AI887987		HS.540009		HS.540009							
5960725	NM_005311.3	2887	GRB10		GRB10							
4230193	AW277062		HS.539416		HS.539416							
4180458	NM_000461.3	7068	THRB		THRB							
2850544	AK095053		HS.565176		HS.565176							
5270021	NM_152653.2	7325	UBE2E2		UBE2E2							
50193	NM_014345.1	24149	ZNF318		ZNF318							
70167	NM_015364.2	23643	LY96		LY96							
7050544	AL831835		HS.157234		HS.157234							
6550035	NM_183004.3	1983	EIF5		EIF5							
3360228	NM_001023.2	6224	RPS20		RPS20							
630709	NM_032377.3	84337	ELOF1		ELOF1							
1410735	NM_024303.1	79149	ZSCAN5A		ZSCAN5A							
2650349	NM_199250.1	84798	C19ORF48		C19ORF48							
2850630	NM_199250.1	84798	C19ORF48		C19ORF48							
3130554	BQ025528		HS.150756		HS.150756							
1710575	NM_001010922.2	440603	BCL2L15		BCL2L15							
110747	NM_001010922.2	440603	BCL2L15		BCL2L15							
5260451	NM_000080.2	1145	CHRNE		CHRNE							
2450100	NM_006603.4	10735	STAG2		STAG2							
5820164	AI871811		HS.544044		HS.544044							
4010445	NM_004719.2	9169	SFRS2IP		SFRS2IP							
7100368	BF739921		HS.565658		HS.565658							
4900050	NM_014421.2	27123	DKK2		DKK2							
2140441	NM_014421.2	27123	DKK2		DKK2							
2450477	NM_033196.2	91120	ZNF682		ZNF682							
70519	NM_033196.2	91120	ZNF682		ZNF682							
3440431	NM_033196.2	91120	ZNF682		ZNF682							
6350411	NM_000514.2	2668	GDNF		GDNF							
6060129	CK821477		HS.201937		HS.201937							
430326	BX117393		HS.121623		HS.121623							
6110253	NM_001042470.1	25870	SUMF2		SUMF2							
2680474	NM_001042470.1	25870	SUMF2		SUMF2							
4860564	XM_943271.2	440491	LOC440491		LOC440491							
2470709	XM_935741.1	442299	LOC442299		LOC442299							
2630195	NM_006634.2	10791	VAMP5		VAMP5							
3180253	NM_182764.1	63916	ELMO2		ELMO2							
5860438	BF911108		HS.538804		HS.538804							
4810246	NM_080794.2	54148	MRPL39		MRPL39							
4200722	NM_016249.2	51438	MAGEC2		MAGEC2							
2750364	NM_016249.2	51438	MAGEC2		MAGEC2							
1240195	NM_207339.2	203569	PAGE2		PAGE2							
430170	NM_181719.3	255104	TMCO4		TMCO4							
4280025	AA682500		HS.545426		HS.545426							
7100048	NM_017551.1	2894	GRID1		GRID1							
4010333	NM_033014.2	4969	OGN		OGN							
6450605	NM_005216.4	1650	DDOST		DDOST							
5890546	DB304838		HS.581701		HS.581701							
1710520	NM_013312.2	29911	HOOK2		HOOK2							
4560717	NM_001012334.1	4192	MDK		MDK							
150458	NM_001012334.1	4192	MDK		MDK							
2850390	NM_001012334.1	4192	MDK		MDK							
2070463	XM_931910.1	643910	LOC643910		LOC643910							
6900017	XR_017894.1	114043	C21ORF90		C21ORF90							
50195	NM_020387.2	57111	RAB25		RAB25							
3840619	NM_001080845.1	728039	PRED57		PRED57							
2760044	XM_931685.1	643612	LOC643612		LOC643612							
990195	CD172710		HS.577577		HS.577577							
3450497	XM_940713.1	651537	LOC651537		LOC651537							
6270392	XM_944135.1	441378	LOC441378		LOC441378							
3890709	NM_005904.2	4092	SMAD7		SMAD7							
4220767	NM_005904.2	4092	SMAD7		SMAD7							
1050685	XM_938853.2	285484	LOC285484		LOC285484							
6550504	XM_939909.1	57461	KIAA1160		KIAA1160							
7200259	NM_000268.2	4771	NF2		NF2							
1090605	NM_000268.2	4771	NF2		NF2							
870097	XM_941089.1	651834	LOC651834		LOC651834							
1070259	NM_138320.1	5046	PCSK6		PCSK6							
3180703	NM_138320.1	5046	PCSK6		PCSK6							
730021	NM_130900.2	154064	RAET1L		RAET1L							
1430358	NM_020642.3	56672	C11ORF17		C11ORF17							
3180288	NM_020642.3	56672	C11ORF17		C11ORF17							
4230044	CD359956		HS.571140		HS.571140							
5560703	NM_001029863.1	387263	C6ORF120		C6ORF120							
580632	CK299647		HS.21237		HS.21237							
4610154	NM_018372.3	55791	C1ORF103		C1ORF103							
6560209	AW104488		HS.540885		HS.540885							
1660403	NM_207485.1	401045	FLJ41327		FLJ41327							
870129	CA426830		HS.566042		HS.566042							
6770161	NM_001038702.1	56990	CDC42SE2		CDC42SE2							
2230681	NM_138443.2	115106	CCDC5		CCDC5							
4180390	XM_941228.1	284129	SLC26A11		SLC26A11							
450241	BE551446		HS.581906		HS.581906							
1740280	NM_005600.1	4817	NIT1		NIT1							
4850605	NM_005681.2	9015	TAF1A		TAF1A							
3060059	NM_005681.2	9015	TAF1A		TAF1A							
4830544	NM_019893.1	56624	ASAH2		ASAH2							
1190112	NM_019893.1	56624	ASAH2		ASAH2							
3610239	NM_001004345.1	440867	FLJ16124		FLJ16124							
3390168	AW294679		HS.551425		HS.551425							
6900097	NM_032532.1	84624	FNDC1		FNDC1							
3520605	BF509938		HS.560736		HS.560736							
1500369	BM678284		HS.573255		HS.573255							
870373	NM_017776.1	55634	ZNF673		ZNF673							
6020450	NM_002062.2	2740	GLP1R		GLP1R							
2370403	BF511906		HS.545732		HS.545732							
1410114	NM_017933.3	55022	PID1		PID1							
1820598	AW303448		HS.577768		HS.577768							
430315	NM_052903.3	114791	TUBGCP5		TUBGCP5							
2650131	NM_001080473.1	388931	LOC388931		LOC388931							
5550470	NM_033410.2	92595	ZNF764		ZNF764							
840673	NM_152604.1	163087	ZNF383		ZNF383							
630626	NM_194320.2	169841	ZNF169		ZNF169							
6960131	NM_004227.3	9265	CYTH3		CYTH3							
2750603	NM_004227.3	9265	CYTH3		CYTH3							
2070519	XM_927921.1	653533	LOC653533		LOC653533							
3370279	NM_144992.3	200403	MGC26733		MGC26733							
5550746	NM_052887.2	114609	TIRAP		TIRAP							
7320184	BQ277198		HS.185566		HS.185566							
4490152	BF732606		HS.580088		HS.580088							
4480064	XM_939605.2	645645	LOC645645		LOC645645							
780670	NM_033302.2	148	ADRA1A		ADRA1A							
3170717	NM_003576.3	8428	STK24		STK24							
6180050	NM_003576.3	8428	STK24		STK24							
5490605	XM_939861.1	343930	MSGN1		MSGN1							
5260544	BM672143		HS.441325		HS.441325							
1570022	XM_001134402.1	730262	LOC730262		LOC730262							
380377	XM_001134402.1	730262	LOC730262		LOC730262							
150131	NM_004182.2	8409	UXT		UXT							
2260736	NM_017759.2	54891	FLJ20309		FLJ20309							
460626	XM_926851.1	286260	LOC286260		LOC286260							
3390681	AI699581		HS.538554		HS.538554							
5090082	AA626005		HS.577389		HS.577389							
2750519	BX115647		HS.140841		HS.140841							
1570379	NM_175735.3	254773	LYG2		LYG2							
6580392	AW779539		HS.545119		HS.545119							
3800307	NM_138392.2	92799	SHKBP1		SHKBP1							
430242	NM_080918.1	1716	DGUOK		DGUOK							
5820142	NM_174917.1	197322	ACSF3		ACSF3							
7560056	NM_138435.1	113828	FAM83F		FAM83F							
540563	NM_006120.2	3108	HLA-DMA		HLA-DMA							
4480437	NM_001001852.2	415116	PIM3		PIM3							
770167	NM_001039933.1	974	CD79B		CD79B							
2340142	NR_001530.1	83864	TTTY9A		TTTY9A							
5860373	NM_021805.1	59307	SIGIRR		SIGIRR							
2750082	XM_374179.3	389422	LOC389422		LOC389422							
3440189	NM_015642.3	26137	ZBTB20		ZBTB20							
5550692	XM_086001.6	148003	LOC148003		LOC148003							
5220717	BX102281		HS.526973		HS.526973							
4120040	BQ429792		HS.577776		HS.577776							
1260102	NM_144605.2	124404	SEPT12		SEPT12							
1300519	NM_152457.1	146434	ZNF597		ZNF597							
2370228	NM_033124.2	85478	CCDC65		CCDC65							
2900315	AI138665		HS.489752		HS.489752							
4280114	XM_941757.1	652331	LOC652331		LOC652331							
2340364	NM_002375.3	4134	MAP4		MAP4							
1170091	BM977248		HS.363359		HS.363359							
4490592	AW182030		HS.540683		HS.540683							
6040095	XM_938250.1	649184	LOC649184		LOC649184							
4880523	XM_928247.1	441528	LOC441528		LOC441528							
5570424	AL512695		HS.278285		HS.278285							
4290731	NM_032045.3	83999	KREMEN1		KREMEN1							
6380309	XM_933141.2	645781	LOC645781		LOC645781							
4060703	NM_053044.2	94031	HTRA3		HTRA3							
7210161	BX101409		HS.427242		HS.427242							
6180438	NM_182827.1	360132	FKBP9L		FKBP9L							
5700451	NM_182827.1	360132	FKBP9L		FKBP9L							
4850608	NM_001080482.2	389813	LOC389813		LOC389813							
6450719	NM_006248.1	440083	PRB2		PRB2							
5080273	NM_003106.2	6657	SOX2		SOX2							
2360519	NM_003859.1	8813	DPM1		DPM1							
5670626	NM_003859.1	8813	DPM1		DPM1							
4890672	NM_001621.2	196	AHR		AHR							
4890379	XM_939894.1	650804	LOC650804		LOC650804							
520167	BU676215		HS.558220		HS.558220							
1770471	NM_012434.3	26503	SLC17A5		SLC17A5							
7150546	AF342767		HS.543797		HS.543797							
4070615	NM_030753.3	7473	WNT3		WNT3							
1170139	NM_015205.2	23250	ATP11A		ATP11A							
70390	XM_936553.1	440435	GPR158L1		GPR158L1							
160601	XM_943173.1	648001	LOC648001		LOC648001							
1570414	NM_181528.2	51126	NAT5		NAT5							
6380082	NM_181528.2	51126	NAT5		NAT5							
4200576	NM_000054.2	554	AVPR2		AVPR2							
5900598	AW629359		HS.558267		HS.558267							
1510091	NM_016075.2	51028	VPS36		VPS36							
2120440	XM_379141.3	401014	DKFZP686O1327		DKFZP686O1327							
4830148	NM_001290.2	9079	LDB2		LDB2							
7050431	BX102626		HS.572506		HS.572506							
2490204	NM_024638.2	79691	QTRTD1		QTRTD1							
1660333	NM_024638.2	79691	QTRTD1		QTRTD1							
3930615	NM_205842.1	10787	NCKAP1		NCKAP1							
6350609	NM_205850.2	283652	SLC24A5		SLC24A5							
2900750	DB338882		HS.580781		HS.580781							
4890408	NM_002676.1	5372	PMM1		PMM1							
1820440	NM_017442.2	54106	TLR9		TLR9							
3610324	AI352437		HS.564983		HS.564983							
2480376	XM_927720.1	653493	LOC653493		LOC653493							
1500139	NM_006042.1	9955	HS3ST3A1		HS3ST3A1							
3420647	NM_012180.2	26269	FBXO8		FBXO8							
4070139	XM_933461.1	646191	LOC646191		LOC646191							
5310681	XM_933085.1	653344	LOC653344		LOC653344							
4780156	NM_201444.2	1606	DGKA		DGKA							
1410047	XM_931304.2	643085	LOC643085		LOC643085							
290148	BE897531		HS.584167		HS.584167							
2710445	NM_033343.2	89884	LHX4		LHX4							
5690477	AI081197		HS.540832		HS.540832							
4920446	XM_939922.1	650836	LOC650836		LOC650836							
6770315	XM_373027.4	391656	LOC391656		LOC391656							
6400040	XR_019244.1	389120	LOC389120		LOC389120							
5810703	NM_019036.1	54511	HMGCLL1		HMGCLL1							
6020328	NM_004136.2	3658	IREB2		IREB2							
580681	NM_144976.2	163050	ZNF564		ZNF564							
430722	NM_001008226.1	283726	FAM154B		FAM154B							
3450017	CR742828		HS.506540		HS.506540							
780082	XM_939612.2	441771	LOC441771		LOC441771							
2570669	NM_152480.1	148046	C19ORF23		C19ORF23							
6840142	BG181500		HS.337794		HS.337794							
3370221	NM_001005190.1	390892	OR7A10		OR7A10							
130292	BX093762		HS.174791		HS.174791							
3420546	NM_173590.1	283303	C11ORF36		C11ORF36							
3780576	BM675624		HS.476854		HS.476854							
4070091	NM_001001523.1	6097	RORC		RORC							
4560180	NM_001001523.1	6097	RORC		RORC							
4890553	NM_001001523.1	6097	RORC		RORC							
6130193	NM_024092.1	79073	TMEM109		TMEM109							
6650180	BU753092		HS.297366		HS.297366							
1510072	NM_014889.2	10531	PITRM1		PITRM1							
6200554	NM_018947.4	54205	CYCS		CYCS							
7510687	NM_006662.2	10847	SRCAP		SRCAP							
670270	XM_927702.1	644586	LOC644586		LOC644586							
510500	AI075326		HS.133889		HS.133889							
380291	BX103479		HS.561272		HS.561272							
60291	NM_173670.2	285704	RGMB		RGMB							
5490181	NM_173670.2	285704	RGMB		RGMB							
6480427	NM_145910.2	79858	NEK11		NEK11							
240148	AW274558		HS.558261		HS.558261							
2340315	AI658848		HS.563688		HS.563688							
6100653	AA431310		HS.98724		HS.98724							
7330564	NM_001013357.1	504190	OR8U9		OR8U9							
5720181	NM_001013357.1	504190	OR8U9		OR8U9							
1170164	NM_007209.3	11224	RPL35		RPL35							
3840048	NM_199350.3	375759	C9ORF50		C9ORF50							
6770600	NM_018456.4	55840	EAF2		EAF2							
2810554	NM_001005465.1	26533	OR10G3		OR10G3							
6770343	NM_001014763.1	2109	ETFB		ETFB							
1070035	NM_001014763.1	2109	ETFB		ETFB							
3170397	NM_000615.1	4684	NCAM1		NCAM1							
1010767	NM_000615.1	4684	NCAM1		NCAM1							
2230253	NM_138422.1	113179	ADAT3		ADAT3							
540520	BE669462		HS.537721		HS.537721							
1690189	NM_152453.2	145942	TMCO5A		TMCO5A							
10372	BC052811		HS.285193		HS.285193							
7650561	XM_928745.2	643475	LOC643475		LOC643475							
1090075	NM_144997.4	201163	FLCN		FLCN							
4880301	BU626338		HS.565137		HS.565137							
6980471	NM_130436.2	1859	DYRK1A		DYRK1A							
3940368	NM_205853.2	389125	MUSTN1		MUSTN1							
2810168	NM_170710.3	116966	WDR17		WDR17							
2810674	NM_033091.1	89122	TRIM4		TRIM4							
4390470	NM_033091.1	89122	TRIM4		TRIM4							
580719	NM_024808.2	79866	C13ORF34		C13ORF34							
520193	CB243685		HS.573554		HS.573554							
6650615	XM_945026.2	643449	LOC643449		LOC643449							
5360747	XM_926120.1	653123	LOC653123		LOC653123							
6560025	BX537622		HS.567392		HS.567392							
4890615	NM_001024662.1	6128	RPL6		RPL6							
2630561	NM_001024662.1	6128	RPL6		RPL6							
1980520	NM_001024662.1	6128	RPL6		RPL6							
2100341	NM_004894.1	9556	C14ORF2		C14ORF2							
4010438	XM_929895.1	653438	LOC653438		LOC653438							
5270152	XM_001126250.1	727944	LOC727944		LOC727944							
2350274	NM_016633.2	51327	ERAF		ERAF							
2320279	NM_144604.2	124245	ZC3H18		ZC3H18							
3890014	XM_926216.1	642809	LOC642809		LOC642809							
7650347	NM_016410.3	51510	CHMP5		CHMP5							
1440192	NM_001042685.1	284194	LGALS9B		LGALS9B							
610682	NM_001042685.1	284194	LGALS9B		LGALS9B							
7380368	XM_001125771.1	54663	WDR74		WDR74							
2190537	XM_001125771.1	54663	WDR74		WDR74							
7210706	NM_152386.2	130367	SGPP2		SGPP2							
2470273	AI761253		HS.436868		HS.436868							
3940433	NM_012360.1	4992	OR1F1		OR1F1							
4730482	NM_001795.2	1003	CDH5		CDH5							
5080494	NM_024293.3	79137	FAM134A		FAM134A							
1030170	NM_145270.1	146325	LOC146325		LOC146325							
1410102	NM_198845.1	946	SIGLEC6		SIGLEC6							
2900239	NM_080625.2	140706	C20ORF160		C20ORF160							
4220139	XM_937443.1	653981	LOC653981		LOC653981							
510184	XM_933614.2	646434	LOC646434		LOC646434							
1410064	NR_003614.1	5380	PMS2L2		PMS2L2							
4570180	XM_929969.1	126860	LOC126860		LOC126860							
520332	NM_007255.1	11285	B4GALT7		B4GALT7							
7150494	CK299183		HS.537770		HS.537770							
2650762	NM_001012516.1	81618	ITM2C		ITM2C							
1110669	NM_001012516.1	81618	ITM2C		ITM2C							
830131	XM_925800.2	653052	LOC653052		LOC653052							
6900168	BX090635		HS.164091		HS.164091							
6370022	NM_001042724.1	5819	PVRL2		PVRL2							
2140746	NM_001042724.1	5819	PVRL2		PVRL2							
2230014	NM_001040192.1	54943	DNAJC28		DNAJC28							
6250138	XM_001128323.1	731102	LOC731102		LOC731102							
4280424	BG720582		HS.581571		HS.581571							
4480468	NM_000929.2	5322	PLA2G5		PLA2G5							
6400102	AW072563		HS.542721		HS.542721							
1240139	XM_940884.1	651680	LOC651680		LOC651680							
4280561	NM_005736.2	10121	ACTR1A		ACTR1A							
7100711	NM_001743.3	805	CALM2		CALM2							
4590092	NM_032523.2	114880	OSBPL6		OSBPL6							
4220494	NM_032523.2	114880	OSBPL6		OSBPL6							
1450239	NM_018569.2	55435	C4ORF16		C4ORF16							
3710753	NM_018569.2	55435	C4ORF16		C4ORF16							
4260743	XM_936279.2	642132	LOC642132		LOC642132							
7000341	XM_943048.1	647834	LOC647834		LOC647834							
5290403	NM_030581.3	79726	WDR59		WDR59							
6400309	NM_004160.3	5697	PYY		PYY							
2630523	BU633344		HS.402364		HS.402364							
7160309	DB337625		HS.580799		HS.580799							
5700446	AA687749		HS.538466		HS.538466							
6250544	BG939824		HS.559869		HS.559869							
4120497	BU678450		HS.563667		HS.563667							
6100059	NM_170711.1	26528	DAZAP1		DAZAP1							
7100086	NM_170711.1	26528	DAZAP1		DAZAP1							
5260241	XM_943467.1	2267	FGL1		FGL1							
5720524	AK127116		HS.150105		HS.150105							
4920288	NM_017863.2	54967	CXORF48		CXORF48							
5130463	BX119465		HS.132457		HS.132457							
610735	NM_152759.3	254050	LRRC43		LRRC43							
6380025	XM_940704.1	651530	LOC651530		LOC651530							
4850753	AK126813		HS.552287		HS.552287							
1940358	NM_144966.4	158326	FREM1		FREM1							
3890605	AW628516		HS.278111		HS.278111							
3390292	NM_001206.2	687	KLF9		KLF9							
4290364	NM_032250.2	84210	ANKRD20A1		ANKRD20A1							
4490484	NM_032250.2	84210	ANKRD20A1		ANKRD20A1							
7050114	NM_032250.2	84210	ANKRD20A1		ANKRD20A1							
4560619	NM_198151.1	253012	HEPACAM2		HEPACAM2							
1300427	NM_198151.1	253012	HEPACAM2		HEPACAM2							
4290465	NM_198151.1	253012	HEPACAM2		HEPACAM2							
1850408	BX490982		HS.147781		HS.147781							
2710026	NM_001085429.1	155006	TMEM213		TMEM213							
3190564	BX103447		HS.148567		HS.148567							
3310152	NM_145246.3	118924	C10ORF4		C10ORF4							
5860228	BG181872		HS.148993		HS.148993							
6940594	BG192737		HS.334029		HS.334029							
7550014	NM_012436.2	26206	SPAG8		SPAG8							
5670274	NR_003228.1	172	AFG3L1		AFG3L1							
3180403	NR_003228.1	172	AFG3L1		AFG3L1							
5700328	NR_002168.1	153743	PPP1R2P3		PPP1R2P3							
7650091	NM_015308.1	23360	FNBP4		FNBP4							
6040328	BI820139		HS.50925		HS.50925							
